Line,bus0,bus1
348,"(80.6813486, 26.711809)","(80.6824803, 26.714403)"
349,"(80.6824803, 26.714403)","(80.6839365, 26.7176378)"
350,"(80.6839365, 26.7176378)","(80.6851793, 26.7204681)"
351,"(80.6851793, 26.7204681)","(80.687733, 26.7221503)"
352,"(80.687733, 26.7221503)","(80.690812, 26.724252)"
353,"(80.690812, 26.724252)","(80.6938142, 26.726224)"
354,"(80.6938142, 26.726224)","(80.6967523, 26.7281921)"
355,"(80.6967523, 26.7281921)","(80.6983195, 26.7312282)"
356,"(80.6983195, 26.7312282)","(80.699921, 26.7342794)"
357,"(80.699921, 26.7342794)","(80.7014968, 26.737342)"
358,"(80.7014968, 26.737342)","(80.7029957, 26.7402405)"
359,"(80.7029957, 26.7402405)","(80.7055794, 26.7425326)"
360,"(80.7055794, 26.7425326)","(80.7082826, 26.7449428)"
361,"(80.7082826, 26.7449428)","(80.7110114, 26.7473911)"
362,"(80.7110114, 26.7473911)","(80.713578, 26.7496449)"
363,"(80.713578, 26.7496449)","(80.7165631, 26.7522723)"
364,"(80.7165631, 26.7522723)","(80.7185318, 26.7546099)"
365,"(80.7185318, 26.7546099)","(80.7206884, 26.7571114)"
366,"(80.7206884, 26.7571114)","(80.7230329, 26.7598569)"
367,"(80.7230329, 26.7598569)","(80.7254414, 26.762629)"
368,"(80.7254414, 26.762629)","(80.7277731, 26.7653744)"
369,"(80.7277731, 26.7653744)","(80.7301731, 26.7681387)"
370,"(80.7301731, 26.7681387)","(80.7325933, 26.7709544)"
371,"(80.7325933, 26.7709544)","(80.734862, 26.7736043)"
372,"(80.734862, 26.7736043)","(80.7372695, 26.7764161)"
373,"(80.7372695, 26.7764161)","(80.7396823, 26.7791849)"
374,"(80.7396823, 26.7791849)","(80.742015, 26.7819585)"
375,"(80.742015, 26.7819585)","(80.7433602, 26.7842697)"
376,"(80.7433602, 26.7842697)","(80.7444919, 26.7863712)"
377,"(80.7444919, 26.7863712)","(80.7458158, 26.7893447)"
